scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
ten-twelve,He mentioned you ten times in his statement.,He mentioned you twelve times in his statement.,He did not mention you ten times in his statement.,He did not mention you twelve times in his statement.,He did not mention you more than ten times in his statement.,"He mentioned you ten times in his statement, even twelve times.","He mentioned you ten times in his statement, maybe even twelve times.","He mentioned you ten times in his statement, but not twelve times.","He did not mention you twelve times in his statement, not even ten times.","He did not mention you twelve times in his statement, maybe not even ten times.","He did not mention you twelve times in his statement, but ten times.",He mentioned you fewer than ten times in his statement.,He mentioned you a maximum of nine times in his statement.,He mentioned you at least once in his statement.
ten-twelve,Ten people watched the game.,Twelve people watched the game.,Ten people did not watch the game.,Twelve people did not watch the game.,More than ten people did not watch the game.,"Ten people watched the game, even twelve people.","Ten people watched the game, maybe even twelve people.","Ten people watched the game, but twelve people did not.","Twelve people did not watch the game, not even ten people.","Twelve people did not watch the game, maybe not even ten people.","Twelve people did not watch the game, but ten people did.",Fewer than ten people watched the game.,A maximum of nine people watched the game.,At least one person watched the game.
ten-twelve,The phone's battery was at ten percent.,The phone's battery was at twelve percent.,The phone's battery was not at ten percent.,The phone's battery was not at twelve percent.,The phone's battery was not over ten percent.,"The phone's battery was at ten percent, even twelve percent.","The phone's battery was at ten percent, maybe even twelve percent.","The phone's battery was at ten percent, but not twelve percent.","The phone's battery was not at twelve percent, not even ten percent.","The phone's battery was not at twelve percent, maybe not even ten percent.","The phone's battery was not at twelve percent, but ten percent.",The phone's battery was less than ten percent.,The phone's battery was at most nine percent.,The phone's battery was at least one percent.
ten-twelve,He stayed on the mountain for ten days.,He stayed on the mountain for twelve days.,He did not stay on the mountain for ten days.,He did not stay on the mountain for twelve days.,He did not stay on the mountain for more than ten days.,"He stayed on the mountain for ten days, even twelve days.","He stayed on the mountain for ten days, maybe even twelve days.","He stayed on the mountain for ten days, but not twelve days.","He did not stay on the mountain for twelve days, not even ten days.","He did not stay on the mountain for twelve days, maybe not even ten days.","He did not stay on the mountain for twelve days, but ten days.",He stayed on the mountain for less than ten days.,He stayed on the mountain for a maximum of nine days.,He stayed on the mountain for at least one day.
ten-twelve,There were ten people on the plane.,There were twelve people on the plane.,There were not ten people on the plane.,There were not twelve people on the plane.,There were not more than ten people on the plane.,"There were ten people on the plane, even twelve people.","There were ten people on the plane, maybe even twelve people.","There were ten people on the plane, but not twelve people.","There were not twelve people on the plane, not even ten people.","There were not twelve people on the plane, maybe not even ten people.","There were not twelve people on the plane, but ten people.",There were fewer than ten people on the plane.,There were a maximum of nine people on the plane.,There was at least one person on the plane.
ten-twelve,They saw ten cars at the airport.,They saw twelve cars at the airport.,They did not see ten cars at the airport.,They did not see twelve cars at the airport.,They did not see more than ten cars at the airport.,"They saw ten cars at the airport, even twelve cars.","They saw ten cars at the airport, maybe even twelve cars.","They saw ten cars at the airport, but not twelve cars.","They did not see twelve cars at the airport, not even ten cars.","They did not see twelve cars at the airport, maybe not even ten cars.","They did not see twelve cars at the airport, but ten cars.",They saw fewer than ten cars at the airport.,They saw a maximum of nine cars at the airport.,They saw at least one car at the airport.
ten-twelve,They went on vacation with ten suitcases.,They went on vacation with twelve suitcases.,They did not go on vacation with ten suitcases.,They did not go on vacation with twelve suitcases.,They did not go on vacation with more than ten suitcases.,"They went on vacation with ten suitcases, even twelve suitcases.","They went on vacation with ten suitcases, maybe even twelve suitcases.","They went on vacation with ten suitcases, but not twelve suitcases.","They did not go on vacation with twelve suitcases, not even ten suitcases.","They did not go on vacation with twelve suitcases, maybe not even ten suitcases.","They did not go on vacation with twelve suitcases, but ten suitcases.",They went on vacation with fewer than ten suitcases.,They went on vacation with a maximum of nine suitcases.,They went on vacation with at least one suitcase.
ten-twelve,He slept for ten hours.,He slept for twelve hours.,He didn't sleep for ten hours.,He didn't sleep for twelve hours.,He didn't sleep for more than ten hours.,"He slept for ten hours, even twelve hours.","He slept for ten hours, maybe twelve hours.","He slept for ten hours, but he didn't sleep for twelve hours.","He didn't sleep for twelve hours, he didn't even sleep for ten hours.","He didn't sleep for twelve hours, maybe he didn't even sleep for ten hours.","He didn't sleep for twelve hours, but he slept for ten hours.",He slept less than ten hours.,He slept for nine hours at most.,He slept at least one hour.
ten-twelve,Yesterday's rally lasted ten hours.,Yesterday's rally lasted twelve hours.,Yesterday's rally didn't last ten hours.,Yesterday's rally didn't last twelve hours.,Yesterday's rally didn't last more than ten hours.,"Yesterday's rally lasted ten hours, even twelve hours.","Yesterday's rally lasted ten hours, maybe twelve hours.","Yesterday's rally lasted ten hours, but it didn't last twelve hours.","Yesterday's rally didn't last twelve hours, it didn't even last ten hours.","Yesterday's rally didn't last twelve hours, maybe it didn't even last ten hours.","Yesterday's rally didn't last twelve hours, but it lasted ten hours.",Yesterday's rally lasted less than ten hours.,Yesterday's rally lasted nine hours at most.,Yesterday's rally lasted at least one hour.
ten-twelve,She washed the cabbages ten times.,She washed the cabbages twelve times.,She didn't wash the cabbages ten times.,She didn't wash the cabbages twelve times.,She didn't wash the cabbages more than ten times.,"She washed the cabbages ten times, even twelve times.","She washed the cabbages ten times, maybe twelve times.","She washed the cabbages ten times, but she didn't wash them twelve times.","She didn't wash the cabbages twelve times, she didn't even wash them ten times.","She didn't wash the cabbages twelve times, maybe she didn't even wash them ten times.","She didn't wash the cabbages twelve times, but she washed them ten times.",She washed the cabbages less than ten times.,She washed the cabbages nine times at most.,She washed the cabbages at least once.
ten-twelve,He went to the same place ten times.,He went to the same place twelve times.,He didn't go to the same place ten times.,He didn't go to the same place twelve times.,He didn't go to the same place more than ten times.,"He went to the same place ten times, even twelve times.","He went to the same place ten times, maybe twelve times.","He went to the same place ten times, but he didn't go twelve times.","He didn't go to the same place twelve times, he didn't even go ten times.","He didn't go to the same place twelve times, maybe he didn't even go ten times.","He didn't go to the same place twelve times, but he went ten times.",He went to the same place less than ten times.,He went to the same place nine times at most.,He went to the same place at least once.
ten-twelve,He shared what he had with ten people.,He shared what he had with twelve people.,He didn't share what he had with ten people.,He didn't share what he had with twelve people.,He didn't share what he had with more than ten people.,"He shared what he had with ten people, even twelve people.","He shared what he had with ten people, maybe twelve people.","He shared what he had with ten people, but he didn't share with twelve people.","He didn't share what he had with twelve people, he didn't even share it with ten people.","He didn't share what he had with twelve people, maybe he didn't even share it with ten people.","He didn't share what he had with twelve people, but he shared it with ten people.",He shared what he had with less than ten people.,He shared what he had with nine people at most.,He shared what he had with at least one person.
ten-twelve,I had seen the bag on his back in ten stores.,I had seen the bag on his back in twelve stores.,I hadn't seen the bag on his back in ten stores.,I hadn't seen the bag on his back in twelve stores.,I hadn't seen the bag on his back in more than ten stores.,"I had seen the bag on his back in ten stores, even twelve stores.","I had seen the bag on his back in ten stores, maybe twelve stores.","I had seen the bag on his back in ten stores, but I hadn't seen it in twelve stores.","I hadn't seen the bag on his back in twelve stores, I hadn't even seen it in ten stores.","I hadn't seen the bag on his back in twelve stores, maybe I hadn't even seen it in ten stores.","I hadn't seen the bag on his back in twelve stores, but I had seen it in ten stores.",I had seen the bag on his back in less than ten stores.,I had seen the bag on his back in nine stores at most.,I had seen the bag on his back in at least one store.
ten-twelve,The statue in the museum has traveled to ten countries.,The statue in the museum has traveled to twelve countries.,The statue in the museum hasn't traveled to ten countries.,The statue in the museum hasn't traveled to twelve countries.,The statue in the museum hasn't traveled to more than ten countries.,"The statue in the museum has traveled to ten countries, even twelve countries.","The statue in the museum has traveled to ten countries, maybe twelve countries.","The statue in the museum has traveled to ten countries, but it hasn't traveled to twelve countries.","The statue in the museum hasn't traveled to twelve countries, it hasn't even traveled to ten countries.","The statue in the museum hasn't traveled to twelve countries, maybe it hasn't even traveled to ten countries.","The statue in the museum hasn't traveled to twelve countries, but it has traveled to ten countries.",The statue in the museum has traveled to less than ten countries.,The statue in the museum has traveled to nine countries at most.,The statue in the museum has traveled to at least one country.
ten-twelve,The welder has been working in this job for ten years.,The welder has been working in this job for twelve years.,The welder hasn't been working in this job for ten years.,The welder hasn't been working in this job for twelve years.,The welder hasn't been working in this job for more than ten years.,"The welder has been working in this job for ten years, even twelve years.","The welder has been working in this job for ten years, maybe twelve years.","The welder has been working in this job for ten years, but he hasn't been working for twelve years.","The welder hasn't been working in this job for twelve years, he hasn't even been working for ten years.","The welder hasn't been working in this job for twelve years, maybe he hasn't even been working for ten years.","The welder hasn't been working in this job for twelve years, but he has been working for ten years.",The welder has been working in this job for less than ten years.,The welder has been working in this job for nine years at most.,The welder has been working in this job for at least one year.
ten-twelve,Elif has used the car for ten hours.,Elif has used the car for twelve hours.,Elif hasn't used the car for ten hours.,Elif hasn't used the car for twelve hours.,Elif hasn't used the car for more than ten hours.,"Elif has used the car for ten hours, even twelve hours.","Elif has used the car for ten hours, maybe twelve hours.","Elif has used the car for ten hours, but she hasn't used it for twelve hours.","Elif hasn't used the car for twelve hours, she hasn't even used it for ten hours.","Elif hasn't used the car for twelve hours, maybe she hasn't even used it for ten hours.","Elif hasn't used the car for twelve hours, but she has used it for ten hours.",Elif has used the car for less than ten hours.,Elif has used the car for nine hours at most.,Elif has used the car for at least one hour.
ten-twelve,This country has ten mountains.,This country has twelve mountains.,This country doesn't have ten mountains.,This country doesn't have twelve mountains.,This country doesn't have more than ten mountains.,"This country has ten mountains, even twelve mountains.","This country has ten mountains, maybe twelve mountains.","This country has ten mountains, but it doesn't have twelve mountains.","This country doesn't have twelve mountains, it doesn't even have ten mountains.","This country doesn't have twelve mountains, maybe it doesn't even have ten mountains.","This country doesn't have twelve mountains, but it has ten mountains.",This country has less than ten mountains.,This country has nine mountains at most.,This country has at least one mountain.
ten-twelve,The meals will be shared by ten people.,The meals will be shared by twelve people.,The meals will not be shared by ten people.,The meals will not be shared by twelve people.,The meals will not be shared by more than ten people.,"The meals will be shared by ten people, even twelve people.","The meals will be shared by ten people, maybe twelve people.",The meals will be shared by ten people but not twelve people.,"The meals will not be shared by twelve people, not even ten people.","The meals will not be shared by twelve people, maybe not even ten people.","The meals will not be shared by twelve people, but they will be shared by ten people.",The meals will be shared by fewer than ten people.,The meals will be shared by a maximum of nine people.,The meals will be shared by at least two people.
ten-twelve,The tablets are running ten apps.,The tablets are running twelve apps.,The tablets are not running ten apps.,The tablets are not running twelve apps.,The tablets are not running more than ten apps.,"The tablets are running ten apps, even twelve apps.","The tablets are running ten apps, maybe even twelve.","The tablets are running ten apps, but not twelve.","The tablets are not running twelve apps, not even ten.","The tablets are not running twelve apps, maybe not even ten.","The tablets are not running twelve apps, but they are running ten.",The tablets are running fewer than ten apps.,The tablets are running a maximum of nine apps.,The tablets are running at least one app.
ten-twelve,Ten people washed the quilts.,Twelve people washed the quilts.,Ten people didn't wash the quilts.,Twelve people didn't wash the quilts.,More than ten people didn't wash the quilts.,"Ten people washed the quilts, even twelve people washed them.","Ten people washed the quilts, maybe twelve people washed them.","Ten people washed the quilts, but twelve people didn't.","Twelve people didn't wash the quilts, not even ten people.","Twelve people didn't wash the quilts, maybe not even ten.","Twelve people didn't wash the quilts, but ten people did.",Fewer than ten people washed the quilts.,At most nine people washed the quilts.,At least one person washed the quilts.
ten-twelve,The parents will take ten trainings.,The parents will take twelve trainings.,The parents will not take ten trainings.,The parents will not take twelve trainings.,The parents will not take more than ten trainings.,"The parents will take ten trainings, even twelve trainings.","The parents will take ten trainings, maybe twelve trainings.","The parents will take ten trainings, but not twelve trainings.","The parents will not take twelve trainings, not even ten trainings.","The parents will not take twelve trainings, maybe not even ten trainings.","The parents will not take twelve trainings, but they will take ten.",The parents will take fewer than ten trainings.,The parents will take a maximum of nine trainings.,The parents will take at least one training.
ten-twelve,He insulted me for ten minutes.,He insulted me for twelve minutes.,He did not insult me for ten minutes.,He did not insult me for twelve minutes.,He did not insult me for more than ten minutes.,"He insulted me for ten minutes, even twelve minutes.","He insulted me for ten minutes, maybe twelve minutes.","He insulted me for ten minutes, but not twelve minutes.","He didn't insult me for twelve minutes, not even ten.","He didn't insult me for twelve minutes, maybe not even ten.","He did not insult me for twelve minutes, but he did for ten minutes.",He insulted me for fewer than ten minutes.,He insulted me for a maximum of nine minutes.,He insulted me for at least one minute.
ten-twelve,I told Aybike ten lies.,I told Aybike twelve lies.,I did not tell Aybike ten lies.,I did not tell Aybike twelve lies.,I did not tell Aybike more than ten lies.,"I told Aybike ten lies, even twelve lies.","I told Aybike ten lies, maybe twelve lies.","I told Aybike ten lies, but not twelve.","I did not tell Aybike twelve lies, not even ten.","I did not tell Aybike twelve lies, maybe not even ten.","I did not tell Aybike twelve lies, but I did tell her ten.",I told Aybike fewer than ten lies.,I told Aybike a maximum of nine lies.,I told Aybike at least one lie.
ten-twelve,Ten people joined the trip.,Twelve people joined the trip.,Ten people didn't join the trip.,Twelve people didn't join the trip.,More than ten people didn't join the trip.,"Ten people joined the trip, even twelve people joined the trip.","Ten people joined the trip, maybe twelve people joined the trip.","Ten people joined the trip, but twelve people didn't join the trip.","Twelve people didn't join the trip, not even ten people.","Twelve people didn't join the trip, maybe not even ten people.","Twelve people didn't join the trip, but ten people joined the trip.",Fewer than ten people joined the trip.,At most nine people joined the trip.,At least one person joined the trip.
ten-twelve,Ten cars participated in the race.,Twelve cars participated in the race.,Ten cars did not participate in the race.,Twelve cars did not participate in the race.,More than ten cars did not participate in the race.,"Ten cars participated in the race, even twelve cars.","Ten cars participated in the race, maybe even twelve.","Ten cars participated in the race, but not twelve.","Twelve cars did not participate in the race, not even ten.","Twelve cars did not participate in the race, maybe not even ten.","Twelve cars did not participate in the race, but ten cars did.",Fewer than ten cars participated in the race.,At most nine cars participated in the race.,At least one car participated in the race.
ten-twelve,Ten people pulled the rope.,Twelve people pulled the rope.,Ten people didn't pull the rope.,Twelve people didn't pull the rope.,More than ten people didn't pull the rope.,"Ten people pulled the rope, even twelve people pulled it.","Ten people pulled the rope, maybe twelve people pulled it.","Ten people pulled the rope, but twelve people didn't.","Twelve people didn't pull the rope, not even ten people.","Twelve people didn't pull the rope, maybe not even ten people.","Twelve people didn't pull the rope, but ten people did.",Fewer than ten people pulled the rope.,At most nine people pulled the rope.,At least one person pulled the rope.
ten-twelve,There are ten liters of water in the demijohn.,There are twelve liters of water in the demijohn.,There are not ten liters of water in the demijohn.,There are not twelve liters of water in the demijohn.,There are not more than ten liters of water in the demijohn.,"There are ten liters of water in the demijohn, even twelve liters.","There are ten liters of water in the demijohn, maybe twelve liters.","There are ten liters of water in the demijohn, but not twelve.","There are not twelve liters of water in the demijohn, not even ten.","There are not twelve liters of water in the demijohn, maybe not even ten.","There are not twelve liters of water in the demijohn, but there are ten liters.",There are fewer than ten liters of water in the demijohn.,There are a maximum of nine liters of water in the demijohn.,There is at least one liter of water in the demijohn.
fifteen-twenty,There are fifteen caretakers in the park.,There are twenty caretakers in the park.,There are not fifteen caretakers in the park.,There are not twenty caretakers in the park.,There are not more than fifteen caretakers in the park.,"There are fifteen caretakers in the park, even twenty.","There are fifteen caretakers in the park, maybe even twenty.","There are fifteen caretakers in the park, but not twenty.","There are not twenty caretakers in the park, not even fifteen.","There are not twenty caretakers in the park, maybe not even fifteen.","There are not twenty caretakers in the park, but there are fifteen.",There are fewer than fifteen caretakers in the park.,There are at most fourteen caretakers in the park.,There is at least one caretaker in the park.
fifteen-twenty,There are fifteen plates on the table.,There are twenty plates on the table.,There are not fifteen plates on the table.,There are not twenty plates on the table.,There are not more than fifteen plates on the table.,"There are fifteen plates on the table, even twenty.","There are fifteen plates on the table, maybe even twenty.","There are fifteen plates on the table, but not twenty.","There are not twenty plates on the table, not even fifteen.","There are not twenty plates on the table, maybe not even fifteen.","There are not twenty plates on the table, but there are fifteen.",There are fewer than fifteen plates on the table.,There are at most fourteen plates on the table.,There is at least one plate on the table.
fifteen-twenty,I saw fifteen books on the shelf.,I saw twenty books on the shelf.,I did not see fifteen books on the shelf.,I did not see twenty books on the shelf.,I did not see more than fifteen books on the shelf.,"I saw fifteen books on the shelf, even twenty.","I saw fifteen books on the shelf, maybe even twenty.","I saw fifteen books on the shelf, but not twenty.","I did not see twenty books on the shelf, not even fifteen.","I did not see twenty books on the shelf, maybe not even fifteen.","I did not see twenty books on the shelf, but I saw fifteen.",I saw fewer than fifteen books on the shelf.,I saw at most fourteen books on the shelf.,I saw at least one book on the shelf.
fifteen-twenty,They drew fifteen graffiti on the wall.,They drew twenty graffiti on the wall.,They did not draw fifteen graffiti on the wall.,They did not draw twenty graffiti on the wall.,They did not draw more than fifteen graffiti on the wall.,"They drew fifteen graffiti on the wall, even twenty.","They drew fifteen graffiti on the wall, maybe even twenty.","They drew fifteen graffiti on the wall, but not twenty.","They did not draw twenty graffiti on the wall, not even fifteen.","They did not draw twenty graffiti on the wall, maybe not even fifteen.","They did not draw twenty graffiti on the wall, but they drew fifteen.",They drew fewer than fifteen graffiti on the wall.,They drew at most fourteen graffiti on the wall.,They drew at least one graffiti on the wall.
fifteen-twenty,I broke fifteen plates in the kitchen.,I broke twenty plates in the kitchen.,I did not break fifteen plates in the kitchen.,I did not break twenty plates in the kitchen.,I did not break more than fifteen plates in the kitchen.,"I broke fifteen plates in the kitchen, even twenty.","I broke fifteen plates in the kitchen, maybe even twenty.","I broke fifteen plates in the kitchen, but not twenty.","I did not break twenty plates in the kitchen, not even fifteen.","I did not break twenty plates in the kitchen, maybe not even fifteen.","I did not break twenty plates in the kitchen, but I broke fifteen.",I broke fewer than fifteen plates in the kitchen.,I broke at most fourteen plates in the kitchen.,I broke at least one plate in the kitchen.
fifteen-twenty,I watered fifteen trees in the garden.,I watered twenty trees in the garden.,I did not water fifteen trees in the garden.,I did not water twenty trees in the garden.,I did not water more than fifteen trees in the garden.,"I watered fifteen trees in the garden, even twenty.","I watered fifteen trees in the garden, maybe even twenty.","I watered fifteen trees in the garden, but not twenty.","I did not water twenty trees in the garden, not even fifteen.","I did not water twenty trees in the garden, maybe not even fifteen.","I did not water twenty trees in the garden, but I watered fifteen.",I watered fewer than fifteen trees in the garden.,I watered at most fourteen trees in the garden.,I watered at least one tree in the garden.
fifteen-twenty,They took fifteen knives from the counter.,They took twenty knives from the counter.,They did not take fifteen knives from the counter.,They did not take twenty knives from the counter.,They did not take more than fifteen knives from the counter.,"They took fifteen knives from the counter, even twenty.","They took fifteen knives from the counter, maybe even twenty.","They took fifteen knives from the counter, but not twenty.","They did not take twenty knives from the counter, not even fifteen.","They did not take twenty knives from the counter, maybe not even fifteen.","They did not take twenty knives from the counter, but they took fifteen.",They took fewer than fifteen knives from the counter.,They took at most fourteen knives from the counter.,They took at least one knife from the counter.
fifteen-twenty,There are fifteen guests in the hall.,There are twenty guests in the hall.,There are not fifteen guests in the hall.,There are not twenty guests in the hall.,There are not more than fifteen guests in the hall.,"There are fifteen guests in the hall, even twenty.","There are fifteen guests in the hall, maybe even twenty.","There are fifteen guests in the hall, but not twenty.","There are not twenty guests in the hall, not even fifteen.","There are not twenty guests in the hall, maybe not even fifteen.","There are not twenty guests in the hall, but there are fifteen.",There are fewer than fifteen guests in the hall.,There are at most fourteen guests in the hall.,There is at least one guest in the hall.
fifteen-twenty,You must bring fifteen nails from the box.,You must bring twenty nails from the box.,You must not bring fifteen nails from the box.,You must not bring twenty nails from the box.,You must not bring more than fifteen nails from the box.,"You must bring fifteen nails from the box, even twenty.","You must bring fifteen nails from the box, maybe even twenty.","You must bring fifteen nails from the box, but not twenty.","You must not bring twenty nails from the box, not even fifteen.","You must not bring twenty nails from the box, maybe even bring fifteen.","You must not bring twenty nails from the box, but you must bring fifteen.",You must bring fewer than fifteen nails from the box.,You must bring at most fourteen nails from the box.,You must bring at least one nail from the box.
fifteen-twenty,There were fifteen tourist groups in the museum.,There were twenty tourist groups in the museum.,There were not fifteen tourist groups in the museum.,There were not twenty tourist groups in the museum.,There were not more than fifteen tourist groups in the museum.,"There were fifteen tourist groups in the museum, even twenty.","There were fifteen tourist groups in the museum, maybe even twenty.","There were fifteen tourist groups in the museum, but not twenty.","There were not twenty tourist groups in the museum, not even fifteen.","There were not twenty tourist groups in the museum, maybe not even fifteen.","There were not twenty tourist groups in the museum, but there were fifteen.",There were fewer than fifteen tourist groups in the museum.,There were at most fourteen tourist groups in the museum.,There was at least one tourist group in the museum.
fifteen-twenty,There are fifteen pools in the hotel.,There are twenty pools in the hotel.,There are not fifteen pools in the hotel.,There are not twenty pools in the hotel.,There are not more than fifteen pools in the hotel.,"There are fifteen pools in the hotel, even twenty pools.","There are fifteen pools in the hotel, maybe even twenty pools.",There are fifteen pools in the hotel but not twenty pools.,"There are not twenty pools in the hotel, not even fifteen pools.","There are not twenty pools in the hotel, maybe not even fifteen pools.",There are not twenty pools in the hotel but there are fifteen pools.,There are less than fifteen pools in the hotel.,There are at most fourteen pools in the hotel.,There is at least one pool in the hotel.
fifteen-twenty,There are fifteen shelters on the campus.,There are twenty shelters on the campus.,There are not fifteen shelters on the campus.,There are not twenty shelters on the campus.,There are not more than fifteen shelters on the campus.,"There are fifteen shelters on the campus, even twenty shelters.","There are fifteen shelters on the campus, maybe even twenty shelters.",There are fifteen shelters on the campus but not twenty shelters.,"There are not twenty shelters on the campus, not even fifteen shelters.","There are not twenty shelters on the campus, maybe not even fifteen shelters.",There are not twenty shelters on the campus but there are fifteen shelters.,There are less than fifteen shelters on the campus.,There are at most fourteen shelters on the campus.,There is at least one shelter on the campus.
fifteen-twenty,Beyza wrote fifteen books.,Beyza wrote twenty books.,Beyza didn't write fifteen books.,Beyza didn't write twenty books.,Beyza didn't write more than fifteen books.,"Beyza wrote fifteen books, even twenty books.","Beyza wrote fifteen books, maybe even twenty books.",Beyza wrote fifteen books but not twenty books.,"Beyza didn't write twenty books, not even fifteen books.","Beyza didn't write twenty books, maybe not even fifteen books.",Beyza didn't write twenty books but she wrote fifteen books.,Beyza wrote less than fifteen books.,Beyza wrote at most fourteen books.,Beyza wrote at least one book.
fifteen-twenty,There are fifteen roads to the airport.,There are twenty roads to the airport.,There are not fifteen roads to the airport.,There are not twenty roads to the airport.,There are not more than fifteen roads to the airport.,"There are fifteen roads to the airport, even twenty roads.","There are fifteen roads to the airport, maybe even twenty roads.",There are fifteen roads to the airport but not twenty roads.,"There are not twenty roads to the airport, not even fifteen roads.","There are not twenty roads to the airport, maybe not even fifteen roads.",There are not twenty roads to the airport but there are fifteen roads.,There are less than fifteen roads to the airport.,There are at most fourteen roads to the airport.,There is at least one road to the airport.
fifteen-twenty,There are fifteen liters of oil in the garage.,There are twenty liters of oil in the garage.,There are not fifteen liters of oil in the garage.,There are not twenty liters of oil in the garage.,There are not more than fifteen liters of oil in the garage.,"There are fifteen liters of oil in the garage, even twenty liters of oil.","There are fifteen liters of oil in the garage, maybe even twenty liters of oil.",There are fifteen liters of oil in the garage but not twenty liters of oil.,"There are not twenty liters of oil in the garage, not even fifteen liters of oil.","There are not twenty liters of oil in the garage, maybe not even fifteen liters of oil.",There are not twenty liters of oil in the garage but there are fifteen liters of oil.,There are less than fifteen liters of oil in the garage.,There are at most fourteen liters of oil in the garage.,There is at least one liter of oil in the garage.
fifteen-twenty,They stole fifteen balls from the warehouse.,They stole twenty balls from the warehouse.,They didn't steal fifteen balls from the warehouse.,They didn't steal twenty balls from the warehouse.,They didn't steal more than fifteen balls from the warehouse.,"They stole fifteen balls from the warehouse, even twenty balls.","They stole fifteen balls from the warehouse, maybe even twenty balls.",They stole fifteen balls from the warehouse but not twenty balls.,"They didn't steal twenty balls from the warehouse, not even fifteen balls.","They didn't steal twenty balls from the warehouse, maybe not even fifteen balls.",They didn't steal twenty balls from the warehouse but they stole fifteen balls.,They stole less than fifteen balls from the warehouse.,They stole at most fourteen balls from the warehouse.,They stole at least one ball from the warehouse.
fifteen-twenty,There are fifteen children in the village.,There are twenty children in the village.,There are not fifteen children in the village.,There are not twenty children in the village.,There are not more than fifteen children in the village.,"There are fifteen children in the village, even twenty children.","There are fifteen children in the village, maybe even twenty children.",There are fifteen children in the village but not twenty children.,"There are not twenty children in the village, not even fifteen children.","There are not twenty children in the village, maybe not even fifteen children.",There are not twenty children in the village but there are fifteen children.,There are less than fifteen children in the village.,There are at most fourteen children in the village.,There is at least one child in the village.
fifteen-twenty,The song has fifteen parts.,The song has twenty parts.,The song doesn't have fifteen parts.,The song doesn't have twenty parts.,The song doesn't have more than fifteen parts.,"The song has fifteen parts, even twenty parts.","The song has fifteen parts, maybe even twenty parts.",The song has fifteen parts but not twenty parts.,"The song doesn't have twenty parts, not even fifteen parts.","The song doesn't have twenty parts, maybe not even fifteen parts.",The song doesn't have twenty parts but it has fifteen parts.,The song has less than fifteen parts.,The song has at most fourteen parts.,The song has at least one part.
fifteen-twenty,Coronavirus has been seen in fifteen countries.,Coronavirus has been seen in twenty countries.,Coronavirus has not been seen in fifteen countries.,Coronavirus has not been seen in twenty countries.,Coronavirus has not been seen in more than fifteen countries.,"Coronavirus has been seen in fifteen countries, even twenty countries.","Coronavirus has been seen in fifteen countries, maybe even twenty countries.",Coronavirus has been seen in fifteen countries but not twenty countries.,"Coronavirus has not been seen in twenty countries, not even fifteen countries.","Coronavirus has not been seen in twenty countries, maybe not even fifteen countries.",Coronavirus has not been seen in twenty countries but has been seen in fifteen countries.,Coronavirus has been seen in less than fifteen countries.,Coronavirus has been seen in at most fourteen countries.,Coronavirus has been seen in at least one country.
fifteen-twenty,The choir will sing fifteen songs.,The choir will sing twenty songs.,The choir won't sing fifteen songs.,The choir won't sing twenty songs.,The choir won't sing more than fifteen songs.,"The choir will sing fifteen songs, even twenty songs.","The choir will sing fifteen songs, maybe even twenty songs.",The choir will sing fifteen songs but not twenty songs.,"The choir won't sing twenty songs, not even fifteen songs.","The choir won't sing twenty songs, maybe not even fifteen songs.",The choir won't sing twenty songs but they will sing fifteen songs.,The choir will sing less than fifteen songs.,The choir will sing at most fourteen songs.,The choir will sing at least one song.
fifteen-twenty,He wore fifteen clothes.,He wore twenty clothes.,He didn't wear fifteen clothes.,He didn't wear twenty clothes.,He didn't wear more than fifteen clothes.,"He wore fifteen clothes, even twenty clothes.","He wore fifteen clothes, maybe even twenty clothes.","He wore fifteen clothes, but he didn't wear twenty clothes.","He didn't wear twenty clothes, not even fifteen clothes.","He didn't wear twenty clothes, maybe not even fifteen clothes.","He didn't wear twenty clothes, but he wore fifteen clothes.",He wore less than fifteen clothes.,He wore at most fourteen clothes.,He wore at least one piece of clothing.
fifteen-twenty,He slept for fifteen minutes.,He slept for twenty minutes.,He didn't sleep for fifteen minutes.,He didn't sleep for twenty minutes.,He didn't sleep for more than fifteen minutes.,"He slept for fifteen minutes, even twenty minutes.","He slept for fifteen minutes, maybe even twenty minutes.","He slept for fifteen minutes, but he didn't sleep for twenty minutes.","He didn't sleep for twenty minutes, not even fifteen minutes.","He didn't sleep for twenty minutes, maybe not even fifteen minutes.","He didn't sleep for twenty minutes, but he slept for fifteen minutes.",He slept for less than fifteen minutes.,He slept for at most fourteen minutes.,He slept for at least one minute.
fifteen-twenty,He learned fifteen languages.,He learned twenty languages.,He didn't learn fifteen languages.,He didn't learn twenty languages.,He didn't learn more than fifteen languages.,"He learned fifteen languages, even twenty languages.","He learned fifteen languages, maybe even twenty languages.","He learned fifteen languages, but he didn't learn twenty languages.","He didn't learn twenty languages, not even fifteen languages.","He didn't learn twenty languages, maybe not even fifteen languages.","He didn't learn twenty languages, but he learned fifteen languages.",He learned less than fifteen languages.,He learned at most fourteen languages.,He learned at least one language.
