ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
5,209,10,seventeen-twenty-nine-c,We didn't read seventeen history books.,We read at most sixteen history books.,implicature,3
5,209,11,seventeen-twenty-nine-c,We didn't read seventeen history books.,We read at least one history book.,implicature,3
4,325,1,possibly-one hundred percent,Possibly they will ban our new film.,It is not one hundred percent certain that they will ban our new film.,implicature,3
4,325,2,possibly-one hundred percent,It is not one hundred percent certain that they will ban our new film.,Possibly they will ban our new film.,implicature,3
4,325,3,possibly-one hundred percent,Possibly they will not ban our new film.,It is not one hundred percent certain that they will ban our new film.,entailment,0
4,325,4,possibly-one hundred percent,It is one hundred percent certain that they will ban our new film.,Possibly they will ban our new film.,entailment,0
4,325,5,possibly-one hundred percent,It is not one hundred percent certain that they will ban our new film.,Possibly they will not ban our new film.,neutral,1
4,325,6,possibly-one hundred percent,Possibly they will ban our new film.,It is one hundred percent certain that they will ban our new film.,neutral,1
4,325,7,possibly-one hundred percent,It is one hundred percent certain that they will ban our new film.,Possibly they will not ban our new film.,contradiction,2
4,325,8,possibly-one hundred percent,Possibly they will not ban our new film.,It is one hundred percent certain that they will ban our new film.,contradiction,2
2,84,1,attempt-succeed ,He attempted to make their new house a home.,He did not succeed to make their new house a home.,implicature,3
2,84,2,attempt-succeed ,He did not succeed to make their new house a home.,He attempted to make their new house a home.,implicature,3
2,84,3,attempt-succeed ,He did not attempt to make their new house a home.,He did not succeed to make their new house a home.,entailment,0
2,84,4,attempt-succeed ,He succeeded to make their new house a home.,He attempted to make their new house a home.,entailment,0
2,84,5,attempt-succeed ,He did not succeed to make their new house a home.,He did not attempt to make their new house a home.,neutral,1
2,84,6,attempt-succeed ,He attempted to make their new house a home.,He succeeded to make their new house a home.,neutral,1
2,84,7,attempt-succeed ,He succeeded to make their new house a home.,He did not attempt to make their new house a home.,contradiction,2
2,84,8,attempt-succeed ,He did not attempt to make their new house a home.,He succeeded to make their new house a home.,contradiction,2
1,274,1,insincere-hostile,The receptionist was insincere on the first day.,The receptionist was not hostile on the first day.,implicature,3
1,274,2,insincere-hostile,The receptionist was not hostile on the first day.,The receptionist was insincere on the first day.,implicature,3
1,274,3,insincere-hostile,The receptionist was not insincere on the first day.,The receptionist was not hostile on the first day.,entailment,0
1,274,4,insincere-hostile,The receptionist was hostile on the first day.,The receptionist was insincere on the first day.,entailment,0
1,274,5,insincere-hostile,The receptionist was not hostile on the first day.,The receptionist was not insincere on the first day.,neutral,1
1,274,6,insincere-hostile,The receptionist was insincere on the first day.,The receptionist was hostile on the first day.,neutral,1
1,274,7,insincere-hostile,The receptionist was hostile on the first day.,The receptionist was not insincere on the first day.,contradiction,2
1,274,8,insincere-hostile,The receptionist was not insincere on the first day.,The receptionist was hostile on the first day.,contradiction,2
5,64,1,three-five,I will work five hours tomorrow.,I will not work seven hours tomorrow.,implicature,3
5,64,2,three-five,I will not work more than five hours tomorrow.,I will work five hours tomorrow.,implicature,3
5,64,3,three-five,I will not work five hours tomorrow.,I will not work seven hours tomorrow.,entailment,0
5,64,4,three-five,I will work seven hours tomorrow.,I will work five hours tomorrow.,entailment,0
5,64,5,three-five,I will not work seven hours tomorrow.,I will not work five hours tomorrow.,neutral,1
5,64,6,three-five,I will work five hours tomorrow.,I will work seven hours tomorrow.,neutral,1
5,64,7,three-five,I will work seven hours tomorrow.,I will not work five hours tomorrow.,contradiction,2
5,64,8,three-five,I will not work five hours tomorrow.,I will work seven hours tomorrow.,contradiction,2
5,64,9,three-five-c,I will not work five hours tomorrow.,I will work less than five hours tomorrow.,implicature,3
5,64,10,three-five-c,I will not work five hours tomorrow.,I will work at most four hours tomorrow.,implicature,3
5,64,11,three-five-c,I will not work five hours tomorrow.,I will work at least one hour tomorrow.,implicature,3
2,115,1,learn-master ,They learned to land the plane safely.,They didn't master landing the plane safely.,implicature,3
2,115,2,learn-master ,They didn't master landing the plane safely.,They learned to land the plane safely.,implicature,3
2,115,3,learn-master ,They didn't learn to land the plane safely.,They didn't master landing the plane safely.,entailment,0
2,115,4,learn-master ,They mastered landing the plane safely.,They learned to land the plane safely.,entailment,0
2,115,5,learn-master ,They didn't master landing the plane safely.,They didn't learn to land the plane safely.,neutral,1
2,115,6,learn-master ,They learned to land the plane safely.,They mastered landing the plane safely.,neutral,1
2,115,7,learn-master ,They mastered landing the plane safely.,They didn't learn to land the plane safely.,contradiction,2
2,115,8,learn-master ,They didn't learn to land the plane safely.,They mastered landing the plane safely.,contradiction,2
2,388,1,laugh-laugh out loud ,They laughed at the comedy film.,They didn't laugh out loud at the comedy film.,implicature,3
2,388,2,laugh-laugh out loud ,They didn't laugh out loud at the comedy film.,They laughed at the comedy film.,implicature,3
2,388,3,laugh-laugh out loud ,They didn't laugh at the comedy film.,They didn't laugh out loud at the comedy film.,entailment,0
2,388,4,laugh-laugh out loud ,They laughed out loud at the comedy film.,They laughed at the comedy film.,entailment,0
2,388,5,laugh-laugh out loud ,They didn't laugh out loud at the comedy film.,They didn't laugh at the comedy film.,neutral,1
2,388,6,laugh-laugh out loud ,They laughed at the comedy film.,They laughed out loud at the comedy film.,neutral,1
2,388,7,laugh-laugh out loud ,They laughed out loud at the comedy film.,They didn't laugh at the comedy film.,contradiction,2
2,388,8,laugh-laugh out loud ,They didn't laugh at the comedy film.,They laughed out loud at the comedy film.,contradiction,2
5,18,1,two-three,There are two nightstands in the bedroom.,There aren't three nightstands in the bedroom.,implicature,3
5,18,2,two-three,There aren't more than two nightstands in the bedroom.,There are two nightstands in the bedroom.,implicature,3
5,18,3,two-three,There aren't two nightstands in the bedroom.,There aren't three nightstands in the bedroom.,entailment,0
5,18,4,two-three,There are three nightstands in the bedroom.,There are two nightstands in the bedroom.,entailment,0
5,18,5,two-three,There aren't three nightstands in the bedroom.,There aren't two nightstands in the bedroom.,neutral,1
5,18,6,two-three,There are two nightstands in the bedroom.,There are three nightstands in the bedroom.,neutral,1
5,18,7,two-three,There are three nightstands in the bedroom.,There aren't two nightstands in the bedroom.,contradiction,2
5,18,8,two-three,There aren't two nightstands in the bedroom.,There are three nightstands in the bedroom.,contradiction,2
5,18,9,two-three-c,There aren't two nightstands in the bedroom.,There are less than two nightstands in the bedroom.,implicature,3
5,18,10,two-three-c,There aren't two nightstands in the bedroom.,There is at most one nightstand in the bedroom.,implicature,3
5,18,11,two-three-c,There aren't two nightstands in the bedroom.,There is at least one nightstand in the bedroom.,implicature,3
3,136,1,a few-every,A few of the children in the village went to school.,Not every one of the children in the village went to school.,implicature,3
3,136,2,a few-every,Not every one of the children in the village went to school.,A few of the children in the village went to school.,implicature,3
3,136,3,a few-every,None of the children in the village went to school.,Not every one of the children in the village went to school.,entailment,0
3,136,4,a few-every,Every one of the children in the village went to school.,A few of the children in the village went to school.,entailment,0
3,136,5,a few-every,Not every one of the children in the village went to school.,None of the children in the village went to school.,neutral,1
3,136,6,a few-every,A few of the children in the village went to school.,Every one of the children in the village went to school.,neutral,1
3,136,7,a few-every,Every one of the children in the village went to school.,None of the children in the village went to school.,contradiction,2
3,136,8,a few-every,None of the children in the village went to school.,Every one of the children in the village went to school.,contradiction,2
4,444,1,possibly-one hundred percent,They possibly get their bread from the bakery.,It is not one hundred percent certain that they get their bread from the bakery.,implicature,3
4,444,2,possibly-one hundred percent,It is not one hundred percent certain that they get their bread from the bakery.,They possibly get their bread from the bakery.,implicature,3
4,444,3,possibly-one hundred percent,They possibly don't get their bread from the bakery.,It is not one hundred percent certain that they get their bread from the bakery.,entailment,0
4,444,4,possibly-one hundred percent,They one hundred percent certain get their bread from the bakery.,They possibly get their bread from the bakery.,entailment,0
4,444,5,possibly-one hundred percent,It is not one hundred percent certain that they get their bread from the bakery.,They possibly don't get their bread from the bakery.,neutral,1
4,444,6,possibly-one hundred percent,They possibly get their bread from the bakery.,They one hundred percent certain get their bread from the bakery.,neutral,1
4,444,7,possibly-one hundred percent,They one hundred percent certain get their bread from the bakery.,They possibly don't get their bread from the bakery.,contradiction,2
4,444,8,possibly-one hundred percent,They possibly don't get their bread from the bakery.,They one hundred percent certain get their bread from the bakery.,contradiction,2
4,246,1,possibly-one hundred percent,We will possibly reduce our monthly expenses.,It is not one hundred percent certain that we will reduce our monthly expenses.,implicature,3
4,246,2,possibly-one hundred percent,It is not one hundred percent certain that we will reduce our monthly expenses.,We will possibly reduce our monthly expenses.,implicature,3
4,246,3,possibly-one hundred percent,We will possibly not reduce our monthly expenses.,It is not one hundred percent certain that we will reduce our monthly expenses.,entailment,0
4,246,4,possibly-one hundred percent,We will one hundred percent reduce our monthly expenses.,We will possibly reduce our monthly expenses.,entailment,0
4,246,5,possibly-one hundred percent,It is not one hundred percent certain that we will reduce our monthly expenses.,We will possibly not reduce our monthly expenses.,neutral,1
4,246,6,possibly-one hundred percent,We will possibly reduce our monthly expenses.,We will one hundred percent reduce our monthly expenses.,neutral,1
4,246,7,possibly-one hundred percent,We will one hundred percent reduce our monthly expenses.,We will possibly not reduce our monthly expenses.,contradiction,2
4,246,8,possibly-one hundred percent,We will possibly not reduce our monthly expenses.,We will one hundred percent reduce our monthly expenses.,contradiction,2
5,376,1,thirty-sixty,Thirty officers sealed their documents.,Sixty officers did not seal their documents.,implicature,3
5,376,2,thirty-sixty,More than thirty officers did not seal their documents.,Thirty officers sealed their documents.,implicature,3
5,376,3,thirty-sixty,Thirty officers did not seal their documents.,Sixty officers did not seal their documents.,entailment,0
5,376,4,thirty-sixty,Sixty officers sealed their documents.,Thirty officers sealed their documents.,entailment,0
5,376,5,thirty-sixty,Sixty officers did not seal their documents.,Thirty officers did not seal their documents.,neutral,1
5,376,6,thirty-sixty,Thirty officers sealed their documents.,Sixty officers sealed their documents.,neutral,1
5,376,7,thirty-sixty,Sixty officers sealed their documents.,Thirty officers did not seal their documents.,contradiction,2
5,376,8,thirty-sixty,Thirty officers did not seal their documents.,Sixty officers sealed their documents.,contradiction,2
5,376,9,thirty-sixty-c,Thirty officers did not seal their documents.,Less than thirty officers sealed their documents.,implicature,3
5,376,10,thirty-sixty-c,Thirty officers did not seal their documents.,At most twenty-nine officers sealed their documents.,implicature,3
5,376,11,thirty-sixty-c,Thirty officers did not seal their documents.,At least one officer sealed their documents.,implicature,3
2,445,1,cool-shiver,We had cooled down by the lake.,We didn't shiver by the lake.,implicature,3
2,445,2,cool-shiver,We didn't shiver by the lake.,We had cooled down by the lake.,implicature,3
2,445,3,cool-shiver,We didn't cool down by the lake.,We didn't shiver by the lake.,entailment,0
2,445,4,cool-shiver,We had shivered by the lake.,We had cooled down by the lake.,entailment,0
2,445,5,cool-shiver,We didn't shiver by the lake.,We didn't cool down by the lake.,neutral,1
2,445,6,cool-shiver,We had cooled down by the lake.,We had shivered by the lake.,neutral,1
2,445,7,cool-shiver,We had shivered by the lake.,We didn't cool down by the lake.,contradiction,2
2,445,8,cool-shiver,We didn't cool down by the lake.,We had shivered by the lake.,contradiction,2
5,430,1,fifty-seventy,fifty companies left the consortium.,seventy companies did not leave the consortium.,implicature,3
5,430,2,fifty-seventy,More than fifty companies did not leave the consortium.,fifty companies left the consortium.,implicature,3
5,430,3,fifty-seventy,fifty companies did not leave the consortium.,seventy companies did not leave the consortium.,entailment,0
5,430,4,fifty-seventy,seventy companies left the consortium.,fifty companies left the consortium.,entailment,0
5,430,5,fifty-seventy,seventy companies did not leave the consortium.,fifty companies did not leave the consortium.,neutral,1
5,430,6,fifty-seventy,fifty companies left the consortium.,seventy companies left the consortium.,neutral,1
5,430,7,fifty-seventy,seventy companies left the consortium.,fifty companies did not leave the consortium.,contradiction,2
5,430,8,fifty-seventy,fifty companies did not leave the consortium.,seventy companies left the consortium.,contradiction,2
5,430,9,fifty-seventy-c,fifty companies did not leave the consortium.,Less than fifty companies left the consortium.,implicature,3
5,430,10,fifty-seventy-c,fifty companies did not leave the consortium.,At most forty nine companies left the consortium.,implicature,3
5,430,11,fifty-seventy-c,fifty companies did not leave the consortium.,At least one company left the consortium.,implicature,3
3,414,1,some-most,I like some areas of history.,I don't like most areas of history.,implicature,3
3,414,2,some-most,I don't like most areas of history.,I like some areas of history.,implicature,3
3,414,3,some-most,I don't like any areas of history.,I don't like most areas of history.,entailment,0
3,414,4,some-most,I like most areas of history.,I like some areas of history.,entailment,0
3,414,5,some-most,I don't like most areas of history.,I don't like any areas of history.,neutral,1
3,414,6,some-most,I like some areas of history.,I like most areas of history.,neutral,1
3,414,7,some-most,I like most areas of history.,I don't like any areas of history.,contradiction,2
3,414,8,some-most,I don't like any areas of history.,I like most areas of history.,contradiction,2
5,370,1,thirty-sixty,We chatted with thirty young people.,We didn't chat with sixty young people.,implicature,3
5,370,2,thirty-sixty,We didn't chat with more than thirty young people.,We chatted with thirty young people.,implicature,3
5,370,3,thirty-sixty,We didn't chat with thirty young people.,We didn't chat with sixty young people.,entailment,0
5,370,4,thirty-sixty,We chatted with sixty young people.,We chatted with thirty young people.,entailment,0
5,370,5,thirty-sixty,We didn't chat with sixty young people.,We didn't chat with thirty young people.,neutral,1
5,370,6,thirty-sixty,We chatted with thirty young people.,We chatted with sixty young people.,neutral,1
5,370,7,thirty-sixty,We chatted with sixty young people.,We didn't chat with thirty young people.,contradiction,2
5,370,8,thirty-sixty,We didn't chat with thirty young people.,We chatted with sixty young people.,contradiction,2
5,370,9,thirty-sixty-c,We didn't chat with thirty young people.,We chatted with less than thirty young people.,implicature,3
5,370,10,thirty-sixty-c,We didn't chat with thirty young people.,We chatted with at most twenty-nine young people.,implicature,3
5,370,11,thirty-sixty-c,We didn't chat with thirty young people.,We chatted with at least one young person.,implicature,3
4,416,1,possibly-one hundred percent,He possibly accepted the offer from the software company.,It is not one hundred percent certain he accepted the offer from the software company.,implicature,3
4,416,2,possibly-one hundred percent,It is not one hundred percent certain he accepted the offer from the software company.,He possibly accepted the offer from the software company.,implicature,3
4,416,3,possibly-one hundred percent,He possibly did not accept the offer from the software company.,It is not one hundred percent certain he accepted the offer from the software company.,entailment,0
4,416,4,possibly-one hundred percent,He is one hundred percent certain accepted the offer from the software company.,He possibly accepted the offer from the software company.,entailment,0
4,416,5,possibly-one hundred percent,It is not one hundred percent certain he accepted the offer from the software company.,He possibly did not accept the offer from the software company.,neutral,1
4,416,6,possibly-one hundred percent,He possibly accepted the offer from the software company.,He is one hundred percent certain accepted the offer from the software company.,neutral,1
4,416,7,possibly-one hundred percent,He is one hundred percent certain accepted the offer from the software company.,He possibly did not accept the offer from the software company.,contradiction,2
4,416,8,possibly-one hundred percent,He possibly did not accept the offer from the software company.,He is one hundred percent certain accepted the offer from the software company.,contradiction,2
2,51,1,attempt-succeed ,He attempted to run on the long track.,He didn't succeed in running on the long track.,implicature,3
2,51,2,attempt-succeed ,He didn't succeed in running on the long track.,He attempted to run on the long track.,implicature,3
2,51,3,attempt-succeed ,He didn't attempt to run on the long track.,He didn't succeed in running on the long track.,entailment,0
2,51,4,attempt-succeed ,He succeeded in running on the long track.,He attempted to run on the long track.,entailment,0
2,51,5,attempt-succeed ,He didn't succeed in running on the long track.,He didn't attempt to run on the long track.,neutral,1
2,51,6,attempt-succeed ,He attempted to run on the long track.,He succeeded in running on the long track.,neutral,1
2,51,7,attempt-succeed ,He succeeded in running on the long track.,He didn't attempt to run on the long track.,contradiction,2
2,51,8,attempt-succeed ,He didn't attempt to run on the long track.,He succeeded in running on the long track.,contradiction,2
1,422,1,acceptable-great,The visual quality of this cinematic is acceptable.,The visual quality of this cinematic is not great.,implicature,3
1,422,2,acceptable-great,The visual quality of this cinematic is not great.,The visual quality of this cinematic is acceptable.,implicature,3
1,422,3,acceptable-great,The visual quality of this cinematic is not acceptable.,The visual quality of this cinematic is not great.,entailment,0
1,422,4,acceptable-great,The visual quality of this cinematic is great.,The visual quality of this cinematic is acceptable.,entailment,0
1,422,5,acceptable-great,The visual quality of this cinematic is not great.,The visual quality of this cinematic is not acceptable.,neutral,1
1,422,6,acceptable-great,The visual quality of this cinematic is acceptable.,The visual quality of this cinematic is great.,neutral,1
1,422,7,acceptable-great,The visual quality of this cinematic is great.,The visual quality of this cinematic is not acceptable.,contradiction,2
1,422,8,acceptable-great,The visual quality of this cinematic is not acceptable.,The visual quality of this cinematic is great.,contradiction,2
5,36,1,two-three,There were two churches in the village.,There weren't three churches in the village.,implicature,3
5,36,2,two-three,There weren't more than two churches in the village.,There were two churches in the village.,implicature,3
5,36,3,two-three,There weren't two churches in the village.,There weren't three churches in the village.,entailment,0
5,36,4,two-three,There were three churches in the village.,There were two churches in the village.,entailment,0
5,36,5,two-three,There weren't three churches in the village.,There weren't two churches in the village.,neutral,1
5,36,6,two-three,There were two churches in the village.,There were three churches in the village.,neutral,1
5,36,7,two-three,There were three churches in the village.,There weren't two churches in the village.,contradiction,2
5,36,8,two-three,There weren't two churches in the village.,There were three churches in the village.,contradiction,2
5,36,9,two-three-c,There weren't two churches in the village.,There were fewer than two churches in the village.,implicature,3
5,36,10,two-three-c,There weren't two churches in the village.,There was at most one church in the village.,implicature,3
5,36,11,two-three-c,There weren't two churches in the village.,There was at least one church in the village.,implicature,3
3,59,1,a few-all,We tried a few products on the menu.,We did not try all products on the menu.,implicature,3
3,59,2,a few-all,We did not try all products on the menu.,We tried a few products on the menu.,implicature,3
3,59,3,a few-all,We did not try any products on the menu.,We did not try all products on the menu.,entailment,0
3,59,4,a few-all,We tried all products on the menu.,We tried a few products on the menu.,entailment,0
3,59,5,a few-all,We did not try all products on the menu.,We did not try any products on the menu.,neutral,1
3,59,6,a few-all,We tried a few products on the menu.,We tried all products on the menu.,neutral,1
3,59,7,a few-all,We tried all products on the menu.,We did not try any products on the menu.,contradiction,2
3,59,8,a few-all,We did not try any products on the menu.,We tried all products on the menu.,contradiction,2
5,26,1,two-three,I have two liras in my pocket.,I have no three liras in my pocket.,implicature,3
5,26,2,two-three,I have no more than two liras in my pocket.,I have two liras in my pocket.,implicature,3
5,26,3,two-three,I have no two liras in my pocket.,I have no three liras in my pocket.,entailment,0
5,26,4,two-three,I have three liras in my pocket.,I have two liras in my pocket.,entailment,0
5,26,5,two-three,I have no three liras in my pocket.,I have no two liras in my pocket.,neutral,1
5,26,6,two-three,I have two liras in my pocket.,I have three liras in my pocket.,neutral,1
5,26,7,two-three,I have three liras in my pocket.,I have no two liras in my pocket.,contradiction,2
5,26,8,two-three,I have no two liras in my pocket.,I have three liras in my pocket.,contradiction,2
5,26,9,two-three-c,I have no two liras in my pocket.,I have fewer than two liras in my pocket.,implicature,3
5,26,10,two-three-c,I have no two liras in my pocket.,I have at most one lira in my pocket.,implicature,3
5,26,11,two-three-c,I have no two liras in my pocket.,I have at least one lira in my pocket.,implicature,3
1,141,1,close-adjacent,The walking trail is close to the customs gate.  ,The walking trail is not adjacent to the customs gate.  ,implicature,3
1,141,2,close-adjacent,The walking trail is not adjacent to the customs gate.  ,The walking trail is close to the customs gate.  ,implicature,3
1,141,3,close-adjacent,The walking trail is not close to the customs gate.  ,The walking trail is not adjacent to the customs gate.  ,entailment,0
1,141,4,close-adjacent,The walking trail is adjacent to the customs gate.  ,The walking trail is close to the customs gate.  ,entailment,0
1,141,5,close-adjacent,The walking trail is not adjacent to the customs gate.  ,The walking trail is not close to the customs gate.  ,neutral,1
1,141,6,close-adjacent,The walking trail is close to the customs gate.  ,The walking trail is adjacent to the customs gate.  ,neutral,1
1,141,7,close-adjacent,The walking trail is adjacent to the customs gate.  ,The walking trail is not close to the customs gate.  ,contradiction,2
1,141,8,close-adjacent,The walking trail is not close to the customs gate.  ,The walking trail is adjacent to the customs gate.  ,contradiction,2
2,275,1,agree-adopt ,They agreed with the beliefs of the local people.,They did not adopt the beliefs of the local people.,implicature,3
2,275,2,agree-adopt ,They did not adopt the beliefs of the local people.,They agreed with the beliefs of the local people.,implicature,3
2,275,3,agree-adopt ,They did not agree with the beliefs of the local people.,They did not adopt the beliefs of the local people.,entailment,0
2,275,4,agree-adopt ,They adopted the beliefs of the local people.,They agreed with the beliefs of the local people.,entailment,0
2,275,5,agree-adopt ,They did not adopt the beliefs of the local people.,They did not agree with the beliefs of the local people.,neutral,1
2,275,6,agree-adopt ,They agreed with the beliefs of the local people.,They adopted the beliefs of the local people.,neutral,1
2,275,7,agree-adopt ,They adopted the beliefs of the local people.,They did not agree with the beliefs of the local people.,contradiction,2
2,275,8,agree-adopt ,They did not agree with the beliefs of the local people.,They adopted the beliefs of the local people.,contradiction,2
3,213,1,some-all,Some of the soft beds have been sold.,All of the soft beds have not been sold.,implicature,3
3,213,2,some-all,All of the soft beds have not been sold.,Some of the soft beds have been sold.,implicature,3
3,213,3,some-all,None of the soft beds have been sold.,All of the soft beds have not been sold.,entailment,0
3,213,4,some-all,All of the soft beds have been sold.,Some of the soft beds have been sold.,entailment,0
3,213,5,some-all,All of the soft beds have not been sold.,None of the soft beds have been sold.,neutral,1
3,213,6,some-all,Some of the soft beds have been sold.,All of the soft beds have been sold.,neutral,1
3,213,7,some-all,All of the soft beds have been sold.,None of the soft beds have been sold.,contradiction,2
3,213,8,some-all,None of the soft beds have been sold.,All of the soft beds have been sold.,contradiction,2
1,428,1,acceptable-great,Our sales in this market are acceptable.,Our sales in this market are not great.,implicature,3
1,428,2,acceptable-great,Our sales in this market are not great.,Our sales in this market are acceptable.,implicature,3
1,428,3,acceptable-great,Our sales in this market are not acceptable.,Our sales in this market are not great.,entailment,0
1,428,4,acceptable-great,Our sales in this market are great.,Our sales in this market are acceptable.,entailment,0
1,428,5,acceptable-great,Our sales in this market are not great.,Our sales in this market are not acceptable.,neutral,1
1,428,6,acceptable-great,Our sales in this market are acceptable.,Our sales in this market are great.,neutral,1
1,428,7,acceptable-great,Our sales in this market are great.,Our sales in this market are not acceptable.,contradiction,2
1,428,8,acceptable-great,Our sales in this market are not acceptable.,Our sales in this market are great.,contradiction,2
5,380,1,thirty-sixty,We saw thirty cow breeds on the tour.,We did not see sixty cow breeds on the tour.,implicature,3
5,380,2,thirty-sixty,We did not see more than thirty cow breeds on the tour.,We saw thirty cow breeds on the tour.,implicature,3
5,380,3,thirty-sixty,We did not see thirty cow breeds on the tour.,We did not see sixty cow breeds on the tour.,entailment,0
5,380,4,thirty-sixty,We saw sixty cow breeds on the tour.,We saw thirty cow breeds on the tour.,entailment,0
5,380,5,thirty-sixty,We did not see sixty cow breeds on the tour.,We did not see thirty cow breeds on the tour.,neutral,1
5,380,6,thirty-sixty,We saw thirty cow breeds on the tour.,We saw sixty cow breeds on the tour.,neutral,1
5,380,7,thirty-sixty,We saw sixty cow breeds on the tour.,We did not see thirty cow breeds on the tour.,contradiction,2
5,380,8,thirty-sixty,We did not see thirty cow breeds on the tour.,We saw sixty cow breeds on the tour.,contradiction,2
5,380,9,thirty-sixty-c,We did not see thirty cow breeds on the tour.,We saw less than thirty cow breeds on the tour.,implicature,3
5,380,10,thirty-sixty-c,We did not see thirty cow breeds on the tour.,We saw at most twenty-nine cow breeds on the tour.,implicature,3
5,380,11,thirty-sixty-c,We did not see thirty cow breeds on the tour.,We saw at least one cow breed on the tour.,implicature,3
3,128,1,a few-every,A few of the fish species in the sea are endangered.,Every fish species in the sea is not endangered.,implicature,3
3,128,2,a few-every,Every fish species in the sea is not endangered.,A few of the fish species in the sea are endangered.,implicature,3
3,128,3,a few-every,None of the fish species in the sea are endangered.,Every fish species in the sea is not endangered.,entailment,0
3,128,4,a few-every,Every fish species in the sea is endangered.,A few of the fish species in the sea are endangered.,entailment,0
3,128,5,a few-every,Every fish species in the sea is not endangered.,None of the fish species in the sea are endangered.,neutral,1
3,128,6,a few-every,A few of the fish species in the sea are endangered.,Every fish species in the sea is endangered.,neutral,1
3,128,7,a few-every,Every fish species in the sea is endangered.,None of the fish species in the sea are endangered.,contradiction,2
3,128,8,a few-every,None of the fish species in the sea are endangered.,Every fish species in the sea is endangered.,contradiction,2
1,395,1,likely-certain,He is likely to buy a gaming console next month.  ,It is not certain that he will buy a gaming console next month.  ,implicature,3
1,395,2,likely-certain,It is not certain that he will buy a gaming console next month.  ,He is likely to buy a gaming console next month.  ,implicature,3
1,395,3,likely-certain,He is not likely to buy a gaming console next month.  ,It is not certain that he will buy a gaming console next month.  ,entailment,0
1,395,4,likely-certain,He will certainly buy a gaming console next month.  ,He is likely to buy a gaming console next month.  ,entailment,0
1,395,5,likely-certain,It is not certain that he will buy a gaming console next month.  ,He is not likely to buy a gaming console next month.  ,neutral,1
1,395,6,likely-certain,He is likely to buy a gaming console next month.  ,He will certainly buy a gaming console next month.  ,neutral,1
1,395,7,likely-certain,He will certainly buy a gaming console next month.  ,He is not likely to buy a gaming console next month.  ,contradiction,2
1,395,8,likely-certain,He is not likely to buy a gaming console next month.  ,He will certainly buy a gaming console next month.  ,contradiction,2
2,7,1,approach-arrive ,The artist longing for the village approached his homeland.,The artist longing for the village did not arrive at his homeland.,implicature,3
2,7,2,approach-arrive ,The artist longing for the village did not arrive at his homeland.,The artist longing for the village approached his homeland.,implicature,3
2,7,3,approach-arrive ,The artist longing for the village did not approach his homeland.,The artist longing for the village did not arrive at his homeland.,entailment,0
2,7,4,approach-arrive ,The artist longing for the village arrived at his homeland.,The artist longing for the village approached his homeland.,entailment,0
2,7,5,approach-arrive ,The artist longing for the village did not arrive at his homeland.,The artist longing for the village did not approach his homeland.,neutral,1
2,7,6,approach-arrive ,The artist longing for the village approached his homeland.,The artist longing for the village arrived at his homeland.,neutral,1
2,7,7,approach-arrive ,The artist longing for the village arrived at his homeland.,The artist longing for the village did not approach his homeland.,contradiction,2
2,7,8,approach-arrive ,The artist longing for the village did not approach his homeland.,The artist longing for the village arrived at his homeland.,contradiction,2
5,153,1,fifteen-twenty,I saw fifteen books on the shelf.,I did not see twenty books on the shelf.,implicature,3
5,153,2,fifteen-twenty,I did not see more than fifteen books on the shelf.,I saw fifteen books on the shelf.,implicature,3
5,153,3,fifteen-twenty,I did not see fifteen books on the shelf.,I did not see twenty books on the shelf.,entailment,0
5,153,4,fifteen-twenty,I saw twenty books on the shelf.,I saw fifteen books on the shelf.,entailment,0
5,153,5,fifteen-twenty,I did not see twenty books on the shelf.,I did not see fifteen books on the shelf.,neutral,1
5,153,6,fifteen-twenty,I saw fifteen books on the shelf.,I saw twenty books on the shelf.,neutral,1
5,153,7,fifteen-twenty,I saw twenty books on the shelf.,I did not see fifteen books on the shelf.,contradiction,2
5,153,8,fifteen-twenty,I did not see fifteen books on the shelf.,I saw twenty books on the shelf.,contradiction,2
5,153,9,fifteen-twenty-c,I did not see fifteen books on the shelf.,I saw fewer than fifteen books on the shelf.,implicature,3
5,153,10,fifteen-twenty-c,I did not see fifteen books on the shelf.,I saw at most fourteen books on the shelf.,implicature,3
5,153,11,fifteen-twenty-c,I did not see fifteen books on the shelf.,I saw at least one book on the shelf.,implicature,3
4,59,1,probably-certain,We will probably visit the rehabilitation center.,It is not certain that we will visit the rehabilitation center.,implicature,3
4,59,2,probably-certain,It is not certain that we will visit the rehabilitation center.,We will probably visit the rehabilitation center.,implicature,3
4,59,3,probably-certain,We probably will not visit the rehabilitation center.,It is not certain that we will visit the rehabilitation center.,entailment,0
4,59,4,probably-certain,It is certain that we will visit the rehabilitation center.,We will probably visit the rehabilitation center.,entailment,0
4,59,5,probably-certain,It is not certain that we will visit the rehabilitation center.,We probably will not visit the rehabilitation center.,neutral,1
4,59,6,probably-certain,We will probably visit the rehabilitation center.,It is certain that we will visit the rehabilitation center.,neutral,1
4,59,7,probably-certain,It is certain that we will visit the rehabilitation center.,We probably will not visit the rehabilitation center.,contradiction,2
4,59,8,probably-certain,We probably will not visit the rehabilitation center.,It is certain that we will visit the rehabilitation center.,contradiction,2
3,339,1,a little-much,I finished a little of the walking trail.,I didn't finish much of the walking trail.,implicature,3
3,339,2,a little-much,I didn't finish much of the walking trail.,I finished a little of the walking trail.,implicature,3
